"Date","Price","Open","High","Low","Vol.","Change %"
"09/06/2024","0.1283","0.1283","0.1284","0.1283","","0.00%"
"09/05/2024","0.1283","0.1283","0.1283","0.1283","","0.05%"
"09/04/2024","0.1283","0.1282","0.1283","0.1282","","0.00%"
"09/03/2024","0.1282","0.1283","0.1283","0.1282","","0.00%"
"09/02/2024","0.1283","0.1282","0.1283","0.1282","","0.00%"
"08/30/2024","0.1282","0.1282","0.1283","0.1282","","0.00%"
"08/29/2024","0.1282","0.1282","0.1283","0.1282","","0.04%"
"08/28/2024","0.1282","0.1282","0.1282","0.1282","","0.00%"
"08/27/2024","0.1282","0.1283","0.1283","0.1282","","-0.07%"
"08/26/2024","0.1283","0.1283","0.1283","0.1282","","0.00%"
"08/23/2024","0.1283","0.1283","0.1283","0.1282","","0.00%"
"08/22/2024","0.1282","0.1283","0.1283","0.1282","","-0.05%"
"08/21/2024","0.1283","0.1284","0.1284","0.1283","","-0.07%"
"08/20/2024","0.1284","0.1284","0.1284","0.1284","","0.00%"
"08/19/2024","0.1284","0.1283","0.1284","0.1283","","0.07%"
"08/16/2024","0.1283","0.1283","0.1283","0.1282","","0.00%"
"08/15/2024","0.1283","0.1283","0.1284","0.1282","","-0.06%"
"08/14/2024","0.1283","0.1284","0.1284","0.1283","","-0.06%"
"08/13/2024","0.1284","0.1283","0.1284","0.1283","","0.00%"
"08/12/2024","0.1283","0.1282","0.1284","0.1282","","0.08%"
"08/09/2024","0.1282","0.1283","0.1283","0.1282","","0.00%"
"08/08/2024","0.1283","0.1282","0.1285","0.1282","","0.04%"
"08/07/2024","0.1282","0.1283","0.1283","0.1282","","-0.04%"
"08/06/2024","0.1283","0.1284","0.1284","0.1283","","-0.07%"
"08/05/2024","0.1284","0.1281","0.1287","0.1281","","0.23%"
"08/02/2024","0.1281","0.1280","0.1281","0.1279","","0.09%"
"08/01/2024","0.1280","0.1280","0.1280","0.1279","","0.00%"
"07/31/2024","0.1280","0.1280","0.1280","0.1280","","0.00%"
"07/30/2024","0.1280","0.1280","0.1281","0.1280","","0.00%"
"07/29/2024","0.1280","0.1281","0.1281","0.1280","","-0.05%"
"07/26/2024","0.1281","0.1281","0.1281","0.1281","","0.00%"
"07/25/2024","0.1281","0.1281","0.1282","0.1281","","0.00%"
"07/24/2024","0.1281","0.1280","0.1281","0.1280","","0.00%"
"07/23/2024","0.1280","0.1281","0.1281","0.1280","","0.00%"
"07/22/2024","0.1281","0.1280","0.1281","0.1280","","0.04%"
"07/19/2024","0.1280","0.1280","0.1281","0.1280","","0.00%"
"07/18/2024","0.1280","0.1281","0.1281","0.1280","","0.00%"
"07/17/2024","0.1281","0.1281","0.1281","0.1281","","0.00%"
"07/16/2024","0.1281","0.1281","0.1281","0.1281","","0.00%"
"07/15/2024","0.1281","0.1281","0.1281","0.1281","","0.00%"
"07/12/2024","0.1281","0.1281","0.1281","0.1281","","0.00%"
"07/11/2024","0.1281","0.1280","0.1281","0.1280","","0.04%"
"07/10/2024","0.1280","0.1280","0.1280","0.1280","","0.00%"
"07/09/2024","0.1280","0.1280","0.1281","0.1280","","0.00%"
"07/08/2024","0.1280","0.1280","0.1280","0.1280","","0.00%"
"07/05/2024","0.1280","0.1281","0.1281","0.1280","","-0.05%"
"07/04/2024","0.1281","0.1280","0.1281","0.1280","","0.00%"
"07/03/2024","0.1280","0.1280","0.1281","0.1280","","0.05%"
"07/02/2024","0.1280","0.1280","0.1280","0.1280","","0.00%"
"07/01/2024","0.1280","0.1281","0.1281","0.1280","","-0.05%"
"06/28/2024","0.1281","0.1281","0.1281","0.1280","","0.00%"
"06/27/2024","0.1281","0.1281","0.1281","0.1281","","0.00%"
"06/26/2024","0.1281","0.1281","0.1281","0.1280","","0.00%"
"06/25/2024","0.1281","0.1281","0.1281","0.1280","","0.00%"
"06/24/2024","0.1281","0.1281","0.1282","0.1281","","0.00%"
"06/21/2024","0.1281","0.1281","0.1282","0.1281","","0.00%"
"06/20/2024","0.1281","0.1281","0.1281","0.1281","","0.00%"
"06/19/2024","0.1281","0.1281","0.1281","0.1281","","0.00%"
"06/18/2024","0.1281","0.1280","0.1281","0.1280","","0.00%"
"06/17/2024","0.1280","0.1280","0.1281","0.1280","","0.00%"
"06/14/2024","0.1280","0.1280","0.1281","0.1280","","0.00%"
"06/13/2024","0.1280","0.1280","0.1281","0.1280","","0.00%"
"06/12/2024","0.1281","0.1280","0.1281","0.1280","","0.00%"
"06/11/2024","0.1280","0.1280","0.1281","0.1280","","0.00%"
"06/10/2024","0.1280","0.1280","0.1280","0.1280","","0.00%"
"06/07/2024","0.1280","0.1280","0.1281","0.1280","","0.00%"
"06/06/2024","0.1280","0.1280","0.1281","0.1280","","0.00%"
"06/05/2024","0.1280","0.1280","0.1281","0.1280","","0.00%"
"06/04/2024","0.1280","0.1279","0.1280","0.1279","","0.08%"
"06/03/2024","0.1279","0.1279","0.1279","0.1278","","0.00%"
"05/31/2024","0.1279","0.1279","0.1280","0.1278","","0.00%"
"05/30/2024","0.1279","0.1280","0.1280","0.1279","","-0.05%"
"05/29/2024","0.1280","0.1280","0.1280","0.1280","","0.00%"
"05/28/2024","0.1280","0.1281","0.1281","0.1280","","-0.05%"
"05/27/2024","0.1281","0.1280","0.1281","0.1280","","0.06%"
"05/24/2024","0.1280","0.1281","0.1281","0.1280","","-0.04%"
"05/23/2024","0.1280","0.1281","0.1282","0.1280","","0.00%"
"05/22/2024","0.1281","0.1281","0.1282","0.1281","","-0.04%"
"05/21/2024","0.1281","0.1282","0.1283","0.1281","","-0.08%"
"05/20/2024","0.1282","0.1282","0.1282","0.1281","","0.05%"
"05/17/2024","0.1282","0.1282","0.1282","0.1281","","0.00%"
"05/16/2024","0.1282","0.1280","0.1282","0.1280","","0.11%"
"05/15/2024","0.1280","0.1280","0.1281","0.1280","","0.00%"
"05/14/2024","0.1280","0.1280","0.1280","0.1280","","0.00%"
"05/13/2024","0.1280","0.1280","0.1280","0.1279","","0.00%"
"05/10/2024","0.1280","0.1280","0.1280","0.1279","","0.00%"
"05/09/2024","0.1280","0.1279","0.1280","0.1279","","0.04%"
"05/08/2024","0.1279","0.1279","0.1279","0.1278","","0.00%"
"05/07/2024","0.1279","0.1279","0.1279","0.1278","","0.00%"
"05/06/2024","0.1279","0.1280","0.1280","0.1279","","-0.08%"
"05/03/2024","0.1280","0.1280","0.1281","0.1279","","0.00%"
"05/02/2024","0.1280","0.1278","0.1280","0.1278","","0.13%"
"05/01/2024","0.1278","0.1278","0.1279","0.1278","","0.00%"
"04/30/2024","0.1278","0.1278","0.1279","0.1278","","0.00%"
"04/29/2024","0.1278","0.1277","0.1278","0.1277","","0.00%"
"04/26/2024","0.1277","0.1277","0.1278","0.1277","","0.00%"
"04/25/2024","0.1277","0.1277","0.1278","0.1277","","0.04%"
"04/24/2024","0.1277","0.1276","0.1277","0.1276","","0.00%"
"04/23/2024","0.1276","0.1276","0.1276","0.1276","","0.00%"
"04/22/2024","0.1276","0.1277","0.1277","0.1276","","0.00%"
"04/19/2024","0.1277","0.1277","0.1277","0.1277","","0.00%"
"04/18/2024","0.1277","0.1277","0.1277","0.1277","","0.00%"
"04/17/2024","0.1277","0.1277","0.1277","0.1277","","0.00%"
"04/16/2024","0.1277","0.1277","0.1278","0.1277","","-0.04%"
"04/15/2024","0.1277","0.1276","0.1278","0.1276","","0.11%"
"04/12/2024","0.1276","0.1276","0.1276","0.1276","","0.00%"
"04/11/2024","0.1276","0.1276","0.1277","0.1276","","0.00%"
"04/10/2024","0.1276","0.1277","0.1277","0.1276","","-0.06%"
"04/09/2024","0.1277","0.1277","0.1277","0.1277","","0.00%"
"04/08/2024","0.1277","0.1277","0.1277","0.1277","","0.00%"
"04/05/2024","0.1277","0.1277","0.1277","0.1277","","0.00%"
"04/04/2024","0.1277","0.1277","0.1278","0.1277","","0.00%"
"04/03/2024","0.1277","0.1277","0.1278","0.1277","","0.00%"
"04/02/2024","0.1277","0.1278","0.1278","0.1277","","-0.04%"
"04/01/2024","0.1278","0.1278","0.1278","0.1278","","0.00%"
"03/29/2024","0.1278","0.1278","0.1278","0.1278","","0.00%"
"03/28/2024","0.1278","0.1278","0.1278","0.1278","","0.00%"
"03/27/2024","0.1278","0.1278","0.1278","0.1278","","0.00%"
"03/26/2024","0.1278","0.1278","0.1279","0.1278","","0.00%"
"03/25/2024","0.1278","0.1278","0.1279","0.1278","","0.00%"
"03/22/2024","0.1278","0.1279","0.1279","0.1278","","0.00%"
"03/21/2024","0.1278","0.1278","0.1279","0.1278","","0.00%"
"03/20/2024","0.1278","0.1278","0.1278","0.1278","","0.00%"
"03/19/2024","0.1278","0.1279","0.1279","0.1278","","-0.05%"
"03/18/2024","0.1279","0.1279","0.1279","0.1278","","0.00%"
"03/15/2024","0.1278","0.1278","0.1279","0.1278","","0.00%"
"03/14/2024","0.1278","0.1278","0.1279","0.1278","","0.00%"
"03/13/2024","0.1278","0.1278","0.1278","0.1278","","0.00%"
"03/12/2024","0.1278","0.1278","0.1279","0.1278","","0.00%"
"03/11/2024","0.1278","0.1279","0.1279","0.1278","","0.00%"
"03/08/2024","0.1279","0.1279","0.1279","0.1278","","0.00%"
"03/07/2024","0.1279","0.1278","0.1279","0.1278","","0.05%"
"03/06/2024","0.1278","0.1278","0.1278","0.1278","","0.00%"
"03/05/2024","0.1278","0.1278","0.1278","0.1278","","0.00%"
"03/04/2024","0.1278","0.1277","0.1278","0.1277","","0.05%"
"03/01/2024","0.1277","0.1277","0.1278","0.1277","","0.00%"
"02/29/2024","0.1277","0.1277","0.1278","0.1277","","0.00%"
"02/28/2024","0.1277","0.1278","0.1278","0.1277","","-0.05%"
"02/27/2024","0.1278","0.1278","0.1278","0.1278","","0.00%"
"02/26/2024","0.1278","0.1278","0.1278","0.1278","","0.00%"
"02/23/2024","0.1278","0.1278","0.1278","0.1278","","0.00%"
"02/22/2024","0.1278","0.1279","0.1279","0.1278","","0.00%"
"02/21/2024","0.1279","0.1279","0.1279","0.1278","","0.00%"
"02/20/2024","0.1279","0.1279","0.1279","0.1278","","0.00%"
"02/19/2024","0.1279","0.1278","0.1279","0.1278","","0.00%"
"02/16/2024","0.1278","0.1279","0.1279","0.1278","","0.00%"
"02/15/2024","0.1279","0.1279","0.1279","0.1279","","0.00%"
"02/14/2024","0.1279","0.1279","0.1279","0.1279","","0.00%"
"02/13/2024","0.1279","0.1279","0.1279","0.1279","","0.00%"
"02/12/2024","0.1279","0.1279","0.1279","0.1279","","0.00%"
"02/09/2024","0.1279","0.1279","0.1279","0.1278","","0.00%"
"02/08/2024","0.1279","0.1279","0.1279","0.1278","","0.00%"
"02/07/2024","0.1279","0.1278","0.1279","0.1278","","0.05%"
"02/06/2024","0.1278","0.1278","0.1279","0.1278","","0.00%"
"02/05/2024","0.1279","0.1279","0.1279","0.1278","","0.00%"
"02/02/2024","0.1279","0.1279","0.1279","0.1278","","0.00%"
"02/01/2024","0.1279","0.1279","0.1279","0.1279","","0.00%"
"01/31/2024","0.1279","0.1279","0.1279","0.1279","","0.00%"
"01/30/2024","0.1279","0.1280","0.1280","0.1279","","-0.06%"
"01/29/2024","0.1280","0.1280","0.1280","0.1279","","0.00%"
"01/26/2024","0.1280","0.1279","0.1280","0.1279","","0.05%"
"01/25/2024","0.1279","0.1279","0.1280","0.1279","","0.00%"
"01/24/2024","0.1279","0.1278","0.1279","0.1278","","0.05%"
"01/23/2024","0.1278","0.1279","0.1279","0.1278","","-0.06%"
"01/22/2024","0.1279","0.1279","0.1279","0.1279","","0.00%"
"01/19/2024","0.1279","0.1279","0.1279","0.1278","","0.04%"
"01/18/2024","0.1279","0.1279","0.1279","0.1278","","0.00%"
"01/17/2024","0.1279","0.1278","0.1279","0.1278","","0.06%"
"01/16/2024","0.1278","0.1278","0.1279","0.1277","","0.00%"
"01/15/2024","0.1278","0.1279","0.1279","0.1278","","0.00%"
"01/12/2024","0.1279","0.1279","0.1279","0.1278","","0.00%"
"01/11/2024","0.1279","0.1279","0.1280","0.1279","","0.00%"
"01/10/2024","0.1279","0.1279","0.1280","0.1279","","0.00%"
"01/09/2024","0.1279","0.1281","0.1281","0.1279","","-0.12%"
"01/08/2024","0.1281","0.1280","0.1281","0.1280","","0.06%"
"01/05/2024","0.1280","0.1281","0.1281","0.1280","","-0.04%"
"01/04/2024","0.1281","0.1281","0.1281","0.1280","","0.00%"
"01/03/2024","0.1281","0.1280","0.1281","0.1279","","0.11%"
"01/02/2024","0.1279","0.1280","0.1281","0.1279","","-0.07%"
"01/01/2024","0.1280","0.1281","0.1281","0.1280","","0.00%"
"12/29/2023","0.1281","0.1280","0.1281","0.1279","","0.07%"
"12/28/2023","0.1280","0.1280","0.1280","0.1279","","-0.05%"
"12/27/2023","0.1280","0.1281","0.1281","0.1279","","0.00%"
"12/26/2023","0.1281","0.1280","0.1281","0.1280","","0.05%"
"12/25/2023","0.1280","0.1280","0.1281","0.1279","","0.00%"
"12/22/2023","0.1280","0.1280","0.1281","0.1279","","-0.04%"
"12/21/2023","0.1281","0.1281","0.1282","0.1280","","0.00%"
"12/20/2023","0.1281","0.1282","0.1282","0.1281","","-0.11%"
"12/19/2023","0.1282","0.1283","0.1283","0.1282","","0.00%"
"12/18/2023","0.1283","0.1282","0.1283","0.1281","","0.08%"
"12/15/2023","0.1282","0.1281","0.1282","0.1281","","0.06%"
"12/14/2023","0.1281","0.1280","0.1281","0.1280","","0.04%"
"12/13/2023","0.1280","0.1281","0.1281","0.1280","","0.00%"
"12/12/2023","0.1281","0.1281","0.1282","0.1280","","-0.05%"
"12/11/2023","0.1281","0.1281","0.1281","0.1280","","0.04%"
"12/08/2023","0.1281","0.1280","0.1281","0.1280","","0.04%"
"12/07/2023","0.1280","0.1280","0.1281","0.1280","","0.00%"
"12/06/2023","0.1280","0.1279","0.1281","0.1279","","0.11%"
"12/05/2023","0.1279","0.1279","0.1280","0.1279","","-0.05%"
"12/04/2023","0.1279","0.1280","0.1280","0.1279","","0.00%"
"12/01/2023","0.1280","0.1280","0.1280","0.1280","","-0.05%"
"11/30/2023","0.1280","0.1281","0.1282","0.1280","","-0.08%"
"11/29/2023","0.1281","0.1283","0.1283","0.1281","","-0.10%"
"11/28/2023","0.1283","0.1283","0.1284","0.1282","","-0.07%"
"11/27/2023","0.1283","0.1283","0.1284","0.1283","","0.00%"
"11/24/2023","0.1283","0.1282","0.1284","0.1282","","0.10%"
"11/23/2023","0.1282","0.1283","0.1283","0.1282","","0.00%"
"11/22/2023","0.1283","0.1283","0.1283","0.1282","","0.00%"
"11/21/2023","0.1283","0.1283","0.1284","0.1283","","-0.04%"
"11/20/2023","0.1283","0.1283","0.1284","0.1282","","0.00%"
