Descripción	Ticker	ID de campo	Nemónico del campo	Estado de datos	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994
Company level				Título																														
Gross Margin (%)				Average	-1740.941605	-1166.621193	-71.55469476	-442.1010624	-341.0093975	-180.7796203	-77.21804537	-43.98445027	-24.6928579	13.21495555	19.11427178	21.45107717	18.57363465	25.91860778	24.27366703	27.90428976	29.41570002	30.53545082	34.36515168	37.58172243	34.12955759	32.88603843	20.05106311	18.42187864	36.02230426	27.97560001	16.60334165	16.00647249	17.31144647	18.47633162
    TPK Holding Co Ltd	3673 TT Equity	RR057	GROSS_MARGIN	Dinámico	4.623863556	4.23382998	3.655506719	4.246334578	3.469726722	3.712105236	7.027939263	3.661080527	-5.406245655	8.092940352	13.15827622	16.9213363	16.87411672	16.80744394	22.64113195	13.55675498	14.24216836													
    Wintek Corp	2384 TT Equity	RR057	GROSS_MARGIN	Dinámico	-17510.52632	-11777.8481	-934.7958441	-4615.516569	-3596.551724	-1950.543772	-805.3565402	-579.5273554	-366.3633257	-17.98683306	-4.24443398	2.422698393	2.566508496	9.239268375	-0.140280772	2.30735971	11.10975809	15.62904436	16.75594522	20.1406211	15.65364496	17.53681952	17.58823131	24.1506798						
    Shenzhen O-film Tech Co Ltd	002456 CH Equity	RR057	GROSS_MARGIN	Dinámico	10.02127179	-0.098695176	8.551988243	10.90749465	9.873690788	12.31538068	13.76360324	11.47802019	12.64373753	12.10304954	16.1927649	19.75122867	13.4617598	22.58540788	26.40005964	28.01306219	33.23395044													
    Synaptics Inc	SYNA US Equity	RR057	GROSS_MARGIN	Dinámico	45.84115072	52.83004944	54.21049606	45.62555987	40.71519604	33.76579269	29.44856775	30.4737516	34.88511608	33.98120963	46.02238008	49.09733148	46.61691851	41.11184252	40.5333178	40.46232638	40.83870414	39.68484221	44.89290571	46.14656552	42.04207605	41.98965064	41.10238421	31.05511388	40.95794587	40.27209983				
    Melfas Inc	096640 KS Equity	RR057	GROSS_MARGIN	Dinámico	-0.102400406	-38.97652952	24.55690653	15.96270077	16.15481135	-2.278084022	-19.73055705	23.57995879	6.36863019	1.640824317	4.337368398	13.43767661	14.33034183	22.4210272	19.32371783	22.6600576	36.1703116													
    HannsTouch Solution Inc	3049 TT Equity	RR057	GROSS_MARGIN	Dinámico	-61.54527694	5.535953795	34.39698693	23.04870498	37.73772565	16.87119132	13.20034203	-5.380719874	17.60920767	26.06071013	42.06826884	32.82509712	-13.01582088	8.548747005	-13.49612407	16.20999705	6.971706473	-11.17541469	9.404212325	23.80781341			3.770478438	-1.287481949						
    Nissha Printing Co Ltd	7915 JP Equity	RR057	GROSS_MARGIN	Dinámico	19.45017469	21.87169718	23.49420186	20.44987389	13.86904933	17.97988467		14.60855598	24.38729173	21.10039992	15.34772182	6.618806401	0.500249501	8.057586757	19.97794668	23.90601642	28.35345158	28.77444075	29.05295587	25.9284094	24.60026624	22.53643853	17.74315848	19.76920281	16.20017373	15.67910018	16.60334165	16.00647249	17.31144647	18.47633162
    Wacom Co Ltd/Japan	6727 JP Equity	RR057	GROSS_MARGIN	Dinámico	30.94977768	27.65319297	36.40965929	38.15257248	33.53701619	34.02048671	38.60766851	38.65408619	39.62456097	40.304887	38.07286822	39.68573237	43.96433334	47.36677297	48.8948458	49.57583953	50.7369704	52.20275314	49.8957986	50.57503824	51.98619353	49.48124501			50.90879319					
    Shenzhen Laibao Hi-tech Co Ltd	002106 CH Equity	RR057	GROSS_MARGIN	Dinámico	15.37471859	12.17428043	14.54523754	16.17342835	15.53926277	12.67362212	14.48121578	14.85431036	3.221016734	10.12818646	13.38007738	24.81710022	49.56303395	54.94466285	43.10221118	54.46177388	53.60050398	58.09703914	56.18909234	58.89188693	36.36560716									
    Young Fast Optoelectronics Co	3622 TT Equity	RR057	GROSS_MARGIN	Dinámico	36.49698989	26.41238679	19.42791337	19.93927541	15.56127003	13.68718978	13.59535232	7.753808928	-13.89856852	-3.275818781	6.807425927	8.93376417	10.87490526	28.1033183	35.49984424	27.88970986	18.89947516													
Operating Margin (%)				Average	-3993.593723	-1799.772443	-167.3252956	-736.3900897	257.6393174	-285.2013176	-194.4060663	183.8042408	-65.51409143	-5.750154601	5.205890448	8.600272723	3.626340076	12.14507391	9.455973785	13.39873051	15.95709043	13.59475173	17.49407028	21.04529493	14.20477191	8.394483583	2.945380395	-118.4784165	5.541526433	5.443838414	6.149150279	5.710355987	6.58303485	6.970412366
    TPK Holding Co Ltd	3673 TT Equity	RR026	OPER_MARGIN	Dinámico	0.00684643	0.56578979	0.304521119	0.828820463	0.090864507	-0.175369541	2.435412713	-2.097889439	-15.12350259	0.111623254	6.281090626	11.49326023	11.38579821	10.45818861	13.96277603	3.803051147	2.636807965													
    Wintek Corp	2384 TT Equity	RR026	OPER_MARGIN	Dinámico	-39802.75689	-17910.58688	-1746.906227	-7413.918129	2538.722442	-2830.799736	-1708.042042	1853.996107	-605.8246997	-77.18206147	-14.29922422	-2.608298919	-2.062947338	3.948946823	-7.50409426	-5.521549156	2.767148087	7.184061411	10.77133423	12.89138265	6.532981331	5.736430811	-0.856631016	13.07868753						
    Shenzhen O-film Tech Co Ltd	002456 CH Equity	RR026	OPER_MARGIN	Dinámico	0.703773937	-29.93704785	-8.218019236	-1.801884842	2.925033525	1.103828325	4.091263412	3.76515305	4.701787742	5.200667603	8.782150393	11.05665275	4.165122078	10.97555149	17.61703637	18.15943313	23.56862016													
    Synaptics Inc	SYNA US Equity	RR026	OPER_MARGIN	Dinámico	-10.58995205	11.38661353	20.14140369	10.9734249	5.165304745	-0.427930988	-3.796847206	3.765568618	4.511368408	9.524368761	7.649922589	15.17372225	12.32479917	12.11585563	12.0652955	14.67752091	13.63552015	11.33525996	10.55392101	26.95650503	15.40037176	11.0803273	14.10265367	1.099080062	3.02667641	5.472153569				
    Melfas Inc	096640 KS Equity	RR026	OPER_MARGIN	Dinámico	-74.68150582	-87.63732169	3.929683612	2.397211122	5.281525064	-25.59690407	-49.59719467	1.147152252	-8.542643772	-7.892238831	0.401573003	6.219891733	6.172411421	14.95992339	11.4409967	5.501082117	25.84941281													
    HannsTouch Solution Inc	3049 TT Equity	RR026	OPER_MARGIN	Dinámico	-80.01345521	-4.021009467	26.57182992	13.57057205	28.63289474	6.022837824	2.980953832	-12.47706341	12.98125258	19.27542512	37.49177277	29.04575909	-33.5416559	-2.946543331	-31.31611757	8.306403013	-0.46141714	-19.3266136	1.937405239	15.06630753			-7.389227069	-496.1375325						
    Nissha Printing Co Ltd	7915 JP Equity	RR026	OPER_MARGIN	Dinámico	-1.883428926	4.652949274	8.776184061	4.689843672	-9.241244577	3.895778288		-3.371271653	8.803298942	7.366870133	1.744469086	-7.584957563	-14.61576846	-4.33654234	8.866222975	12.75916316	16.49794882	17.22995436	18.36717367	13.45783459	12.27994077	9.884347275	5.924725994	8.046098861	6.000064344	5.415523258	6.149150279	5.710355987	6.58303485	6.970412366
    Wacom Co Ltd/Japan	6727 JP Equity	RR026	OPER_MARGIN	Dinámico	5.941351594	1.785944182	11.97158551	12.35336606	6.284395373	4.639137827	4.287131155	-1.642306158	4.724063194	8.238838877	11.01959925	12.96102851	9.992426591	9.929757897	9.760846281	12.75210862	15.07619002	15.85640232	14.27142381	10.43000397	10.30640669	6.876828944			7.597838546					
    Shenzhen Laibao Hi-tech Co Ltd	002106 CH Equity	RR026	OPER_MARGIN	Dinámico	5.587552439	3.08671659	6.443843274	8.123443956	5.557294136	4.140969716	6.025442107	4.46930381	-30.19002934	-2.312396175	0.817362916	10.96263062	39.87278768	46.92540986	34.11898686	44.53837955	43.89502356	49.2894459	49.06316375	47.46973578	26.50415898									
    Young Fast Optoelectronics Co	3622 TT Equity	RR026	OPER_MARGIN	Dinámico	21.74847878	12.97981556	3.732238729	-1.117565663	-7.025335102	-14.81578737	-8.038715738	-9.512346014	-31.18180974	-19.83264328	-7.829811933	-0.71696147	2.570427308	19.42019108	25.54778896	19.01171262	16.10564991													
EBITDA Margin (%)				Average	-4245.864093	-1712.812447	-110.9180205	-374.4143277	633.8808189	-78.03647249	-91.86885166	259.3705147	-19.22481455	4.094792497	14.96837577	19.45510544	9.985111082	17.78308361	17.6201652	20.87724995	22.44439079	22.19118406	22.98337081	27.85210586	19.42281099	11.76537639	11.35325412	-112.6705824	8.330514139	7.264928997				
    TPK Holding Co Ltd	3673 TT Equity	RX225	EBITDA_TO_REVENUE	Dinámico	5.315501812	4.700089994	5.017664149	6.205118256	5.817502576	6.29546005	10.31784034	7.738988546	-7.148453195	6.313244681	10.39796586	14.18172236	13.39159131	12.23567379	17.70206894	7.661424572	5.930363309													
