Application	Panel_Maker	6/30/2024	5/31/2024	4/30/2024	3/31/2024	2/29/2024	1/31/2024	12/31/2023	11/30/2023	10/31/2023	9/30/2023	8/31/2023	7/31/2023	6/30/2023	5/31/2023	4/30/2023	3/31/2023	2/28/2023	1/31/2023	12/31/2022	11/30/2022	10/31/2022	9/30/2022	8/31/2022	7/31/2022
LCD Monitor	AUO	1993	1715	1760	1720	1725	1805	1809	1707	1746	2086	2095	1996	1960	2180	1990	1935	1622	1436	1762	1749	1317	1424.1	1433.2	1329.2
LCD Monitor	BOE Technology Group	4537	4624	3992	4031	3579	3745	4009	3394	3424	3634	3868	3830	3779	3519	3535	3494	2802	2635	3038	2863	2821	3197	2821	3611
LCD Monitor	CEC CHOT								2	3	8	5	10	11	8	10	12	63	51	54.5	57.3	66	73	46	13
LCD Monitor	CEC PANDA																								
LCD Monitor	CEC PANDA Gen 6																			200	300	200	228	240	200
LCD Monitor	CSOT	2613	2595	2507	2411	1960	2143	2230	2107	2167.99	2387	2335	2291	1979	1941	1896	1810	1862	1741.15	1657	1692	1486	1352	1285	1710
LCD Monitor	Century																								
LCD Monitor	Chunghwa Picture Tubes																								
LCD Monitor	HKC	1902.4	1946.7	1900.5	2024.94	1181.95	1973.07	1439.03	1505.13	1342.27	1476.7	1712.12	1753.49	2062	1983	1832	2029	1879	1438	1836	1652	1704	2176	1461	1337
LCD Monitor	Hannstar	1			1																				
LCD Monitor	Innolux	745.91	726.04	737.71	749.1	569.31	802.16	769.4	787.62	978.4	1004	1019.1	902	975.4	988.4	905.7	1068.33	1038.404	715.34	1027.11	1027.03	1015.3	1012	1217.5	1476.4
LCD Monitor	JOLED																								
LCD Monitor	LG Display	2187.1	3027	1867.8	2275.6	2785	1799	2679	2659	1874.1	2418.1	2587	2608	2502	2374	2431	1865.7	1797	1286.9	1658.3	1963.3	1538.5	1771.2	2357.3	2054.1
LCD Monitor	SDC																							32	
LCD TV	AUO	1455	1270	1275	1459	1190	1137	1316	1178	1158	1373	1390	1311	1410	1353	1269.8	1070.4	946.5	936	1068.4	992.2	841	824	890.3	880
LCD TV	BOE Technology Group	5007	5000	5000	5201	3545	4400	4500	3898	4005	4175	4701	5154	5436	5153	5093	5257	5104	4004	4886	5218	5195	5522	5325	5064
LCD TV	CEC CHOT	1216	1279	1262	1180	1095	1056	1176	1205	1155	1203	1295	1347	1321	1370	1355	1385	1390	1351	1345	1336	1364	1369	1420	1420
LCD TV	CEC PANDA																								
LCD TV	CEC PANDA Gen 6																			200	180	150	230	250	250
LCD TV	CSOT	3821.3	4448	4564	4588.3	2944	4009	3846	3584	3682.2	3831	4394	4402	4354	4082	3937	4008	3781	3593	3703	4144	4267	3908	3851	3633
LCD TV	HKC	2806	3260	3037	3910	2702	3100	2862	2627	2698.39	2555.85	3116.54	3628.25	3753	3529	3452	3657	3563	3212.9	2987.1	3594.5	3823	3967	4076	3747.4
LCD TV	Innolux	3378.12	3124.4	3584.1	3746.42	2254	2726	2724.8	2314.31	2647	3124	3027	3039	3322	3367	3150.22	3582.52	3278.4	2649.14	3794.42	3348.2	2772.4	2889.4	2961.3	2627.8
LCD TV	LG Display	1446.3	1353.5	1230.8	1464.7	968.3	873.3	975	887	901.1	882	813	782	824	808.4	685	941	879.5	750.5	2442.2	2331.3	2068.5	2041.1	1763.1	1749.6
LCD TV	Panasonic																								
LCD TV	SDC																			1167	375	516	342	110	11
LCD TV	Sharp	1366	1457	1443	1392	1561	1485	1214	1004	1496	1923	1779	1410	1575	1411	1303	1179	987	706	778	970	1222	1520	1060	865
Monitor Panel	JOLED																								
Monitor Panel	SDC																								
Notebook Panel	SDC																								
OLED Monitor	JOLED																0.46	0.3	0.2	0.2	0.1	0.1		0.3	0.3
OLED Monitor	Japan Display																								
OLED Monitor	LG Display	47.3	65.1	39.2	47.8	27.5	20.3	19.2	20	23	26	30	26	35	40	22.1	27	27	10	11	2.3	0.3			
OLED Monitor	SDC	114	151	87	114	96	48	51	78	114	62	81	38	20	51	28	33	13	11.4	20	9	15	13	6	20
OLED Portable PC	Everdisplay	150	175	200	124	0.4										4.5	7	3	1						
OLED Portable PC	LG Display	6	20	3	1.4																				
OLED Portable PC	SDC	700	459	303	400	339	450	992	387	312	217	270	223	240	252	229	243	215	425	354	420	367	494	348	270
OLED Portable PC	Visionox	30	26	27	45																				
OLED TV	LG Display	675.8	442.7	432.4	517.5	272.4	231.3	545.3	375.3	496.8	530.9	346.5	173.5	563.3	343.4	257.7	318.9	317.5	186	614.4	621.3	665.9	801.7	523.3	403.9
OLED TV	SDC	128	120	79	70	93	121	109	114	102	124	71	66	48	140	74	112	57	46	230.4	111	118	106	102	70
OLED Tablet	Everdisplay	250	145	119	140	200	200	150	180	43	11.5	8.3	16	53	20	171	172	109	97	169	215	239	174	180	232
OLED Tablet	LG Display	690	640	365	588	31	17																		
OLED Tablet	SDC	715	687	903	379	182	68	147	126	96	183	316	338	183	183	90	101	126	65	71	84	25	5	38	79
OLED Tablet	Visionox	55	47	52																					
Portable PC	AUO	3110	3682	2588	3332	2279.5	2916	2635	3766	3061.2	3885.5	4060.6	3259.3	4081	3475	2406	3202	2903.2	1819.4	3902.2	3016	2451	3348	2614	2325
Portable PC	BOE Technology Group	6634	6479	5408	5396	4953	5317	4920	4934	4904	5258	6687	5779	5894	6049	4638	4690	3988	3874	4918	4865	5103	4729	4828	5661
Portable PC	CEC PANDA																								
Portable PC	CSOT	1196	1168	886	924	755	868	754	855	816	970	779	590	563	446	319	364	373	329	358	360	580	300	505	330
Portable PC	Chunghwa Picture Tubes																								
Portable PC	HKC	458.5	502.43	458.52	632.9	273.02	332.8	354.82	290.7	245.3	276.8	185.63	259.3	800.2	324	304	191	123	181	110	237	105	48.6	166	165
