Application	Panel_Maker	12/31/2024	12/31/2023	12/31/2022	12/31/2021	12/31/2020	12/31/2019	12/31/2018
LCD Monitor	AUO	10718	22562	22522.5	29352	25662	25647.5	26217.9
LCD Monitor	BOE Technology Group	24508	41923	47199	52833	43077	35256	37948
LCD Monitor	CEC CHOT		183	317.1				
LCD Monitor	CEC PANDA					11886.5	10106	8314
LCD Monitor	CEC PANDA Gen 6			2458	4319			
LCD Monitor	CSOT	14229	24747.14	20048	14437	6418.9	1205	
LCD Monitor	Century							41
LCD Monitor	Chunghwa Picture Tubes							90
LCD Monitor	HKC	10929.56	20451.74	18912.4	12856.4	2274.1		
LCD Monitor	Hannstar	2		51.4	45		15	
LCD Monitor	Innolux	4330.23	11152.094	15582.86	20193	20886	22821	28150.51
LCD Monitor	JOLED						7.4	
LCD Monitor	LG Display	13941.5	27081.8	30515.9	38001.4	33949	31575	34186
LCD Monitor	SDC			32	1207	19201	16115	16438
LCD TV	AUO	7786	14711.7	13489.7	17971	20046	23979.8	25423.7
LCD TV	BOE Technology Group	28153	56480	64192	62179.2	47283	53200.5	53341
LCD TV	CEC CHOT	7088	15553	16929	14535	13381	10745	3415
LCD TV	CEC PANDA					17976	14341	7765
LCD TV	CEC PANDA Gen 6			3450	4280			
LCD TV	CSOT	24374.6	47494.2	46733	42203	39694.7	40526.5	39212
LCD TV	HKC	18815	38654.93	44628.6	38174.1	31290	19414	13555
LCD TV	Innolux	18813.04	36225.39	36665.13	38096.2	41944.3	43844.35	45366.314
LCD TV	LG Display	7336.9	10128.5	23713.93	23081.1	23682.9	41948.9	49888.4
LCD TV	Panasonic							2300
LCD TV	SDC			4353	6825	25555	30795.8	39303
LCD TV	Sharp	8704	15987	12880	16383.5	10396	6594.8	8474.1
Monitor Panel	JOLED				3.2	4.1	7.4	
Monitor Panel	SDC				8			
Notebook Panel	SDC				4766	947		
OLED Monitor	JOLED		0.96	3.9	3.2	4.1	7.4	
OLED Monitor	Japan Display				0.1	3.8	7.4	
OLED Monitor	LG Display	247.2	305.3	13.6				
OLED Monitor	SDC	610	580.4	137	8			
OLED Portable PC	Everdisplay	649.4	15.5					
OLED Portable PC	LG Display	30.4						
OLED Portable PC	SDC	2651	4005	5261	4766	947		
OLED Portable PC	Visionox	128						
OLED TV	LG Display	2572.1	4455.1	6708.16	7915.26	4610	3344	
OLED TV	SDC	611	1063	1068.4	20			
OLED Tablet	Everdisplay	1054	1030.8	1941	1188			
OLED Tablet	LG Display	2331						
OLED Tablet	SDC	2934	1954	1288	1116	2838		
OLED Tablet	Visionox	154						
Portable PC	AUO	17907.5	38554.2	41377.2	60102	49274	43780	43376
Portable PC	BOE Technology Group	34187	61615	69184	80792	58268	54260	51975
Portable PC	CEC PANDA					10146	5246	3068.5
Portable PC	CSOT	5797	7158	5318	4114	1245	97	9.2
Portable PC	Chunghwa Picture Tubes						4	221
Portable PC	HKC	2658.17	3535.75	2371.6	8283.7			
Portable PC	Hannstar	136	700.3	634.4	3198	1393	938	1473
Portable PC	InfoVision Optoelectronics	2410	5100	7042	10455	7834	5307	5430.6
Portable PC	Innolux	15958.32	34706.9	41481.6	58091	49080	39309	40990.25
Portable PC	Japan Display						138	212
Portable PC	LG Display	12620.9	26533.3	30324.3	41867.8	36412.9	29315	30893
Portable PC	Panasonic						57	
Portable PC	Sharp	1688.4	5471.3	12758.8	12797	10074	7564	6403
Portable PC	Tianma Micro-electronics	784.4	1740	1091	1923	297	78	141.1
TV Panel	LG Display				7915.26	4610	3344	
TV Panel	SDC				20			
Tablet	AUO	450	921	659	4861	10312	13902	10954.2
Tablet	BOE Technology Group	48035	80909	93412	57161.6	60349	60436	51178
Tablet	CEC PANDA					520		
Tablet	CSOT	4691	4687	5804	4507	105		75
Tablet	Century							779.201
Tablet	Chunghwa Picture Tubes						1558	17912.95
Tablet	HKC	3157.1	9632	7131	1968			
Tablet	Hannstar	3509	14007	18689	22821	22138	13655	9692.12
Tablet	InfoVision Optoelectronics	700	1278.63	686	1155	661	2433	1794.68
Tablet	Innolux	13276	28236	27959	42197	27999	27177.1	22809.6
Tablet	LG Display	12098	25314.5	24873.5	26702	25709	23515	24921.9
Tablet	Panasonic					195	1047	808
Tablet	Sharp	2383.7	7277.4	15513.4	17214	16746	14279	11225
Tablet	Tianma Micro-electronics	1784	4175	2543	1441	1672	1010	1814
